Time,Manipulability,Error
62.3798,5.68365,1.47285
62.4799,5.68085,1.47286
62.5798,5.67843,1.47286
62.6798,5.67688,1.47279
62.7798,5.67551,1.47268
62.8798,5.67568,1.47249
62.9798,5.6763,1.47236
63.0807,5.67635,1.47231
63.1818,5.67631,1.47227
63.2818,5.67653,1.47226
63.3878,5.63779,1.47268
63.4898,5.59698,1.46678
63.5909,5.5678,1.45758
63.6908,5.52586,1.44566
63.7919,5.45722,1.4313
63.8918,5.38,1.40662
63.9918,5.29176,1.35197
64.0918,5.19396,1.2931
64.1918,5.09497,1.23002
64.2918,4.98928,1.16462
64.3918,4.86896,1.10006
64.4918,4.72381,1.03884
64.5918,4.55837,0.984683
64.6918,4.45244,0.932986
64.7929,4.38352,0.889825
64.8948,4.35161,0.860403
64.997,4.31862,0.844077
65.0968,4.29157,0.835907
65.1979,4.27085,0.831926
65.2988,4.25224,0.829789
65.3998,4.23657,0.828183
65.5018,4.2623,0.826558
65.6018,4.25237,0.824795
65.7018,4.23568,0.823526
65.8018,4.22683,0.822875
65.9018,4.22491,0.822726
66.0021,4.22499,0.82273
66.1018,4.225,0.822733
66.2018,4.22507,0.822733
66.3018,4.22494,0.822734
66.4018,4.22499,0.822737
66.5019,4.2251,0.822735
66.6018,4.22507,0.822738
66.7021,4.22514,0.822739
66.8018,4.22512,0.822739
66.902,4.22497,0.822739
67.0018,4.22506,0.822742
67.1019,4.225,0.822743
67.2018,4.22513,0.822742
67.3018,4.22519,0.822749
67.4019,4.22509,0.822749
67.5022,4.2252,0.822746
67.6019,4.22524,0.822749
67.7018,4.22523,0.822747
67.8039,4.22523,0.82275
67.9059,4.22519,0.82275
68.0062,4.22524,0.82275
68.1068,4.22532,0.822756
68.207,4.22513,0.822754
68.3098,4.22384,1.51239
68.4129,4.17263,1.50573
68.5149,4.07519,1.49329
68.6158,4.00757,1.48388
68.7158,4.0018,1.48133
68.8283,4.00534,1.47912
68.9489,4.0071,1.47551
69.0529,4.00955,1.47126
69.1549,4.01097,1.46591
69.2548,4.01277,1.45943
69.3568,4.01739,1.45141
69.4569,4.01777,1.44236
69.5588,4.01627,1.43173
69.6608,4.01655,1.41999
69.7608,4.01567,1.40725
69.8609,4.01887,1.39365
69.9608,4.02007,1.37898
70.0608,4.02907,1.36372
70.1608,4.0423,1.34793
70.2608,4.0721,1.33199
70.3608,4.11249,1.31593
70.4617,4.16103,1.29931
70.5638,4.22719,1.28233
70.6659,4.30154,1.23642
70.7658,4.38744,1.18873
70.8671,4.49262,1.1423
70.9668,4.61258,1.09741
71.0668,4.75266,1.05356
71.1678,4.91196,1.00999
71.2679,5.08605,0.967642
71.3692,5.28291,0.926462
71.4699,5.47999,0.886277
71.5698,5.69211,0.848285
71.6719,5.92003,0.811538
71.7759,6.15513,0.776026
71.8768,6.45957,0.743476
71.9769,6.87131,0.71275
72.0788,7.41228,0.682763
72.1798,7.97107,0.653759
72.28,8.63785,0.62565
72.3809,9.89876,0.597945
72.481,12.2142,0.573668
72.5814,16.0199,0.553216
72.6819,21.3926,0.536385
72.7829,27.6212,0.522858
72.8829,33.7756,0.513105
72.983,39.1438,0.505742
73.0829,43.1293,0.4996
73.1829,45.7258,0.495529
73.2829,47.4611,0.493128
73.3979,48.6457,0.700769
73.4979,49.7673,0.679767
73.5979,52.1636,0.649127
73.6994,55.5564,0.609711
73.7989,59.6227,0.561201
73.8999,64.3802,0.502509
73.9999,68.9534,0.436511
74.1009,72.1583,0.361044
74.2019,73.4207,0.301498
74.3041,73.0481,0.271177
74.4072,72.1549,0.255546
74.5069,71.4251,0.248468
74.608,70.8455,0.244852
74.7109,70.409,0.242241
74.8109,70.0126,0.240016
74.9109,69.8306,0.239077
75.0114,69.8102,0.239032
75.1109,69.7866,0.238957
75.2109,69.782,0.238955
75.3119,69.7798,0.238958
75.412,69.7794,0.238965
75.5121,69.7779,0.238965
75.6119,69.7773,0.238962
75.7129,69.7768,0.238968
75.813,69.7761,0.238964
75.9129,69.7757,0.238965
76.0131,69.7756,0.238968
76.1131,69.7752,0.238969
76.213,69.7751,0.238969
76.313,69.7747,0.238964
76.4129,69.7749,0.238967
76.5129,69.775,0.238968
76.6129,69.7738,0.238966
76.7129,69.774,0.238967
76.815,69.7742,0.238967
76.9169,69.7739,0.238968
77.017,69.7741,0.238966
77.1169,69.7734,0.238971
77.217,69.773,0.238969
77.317,69.773,0.238967
77.4171,69.7741,0.238968
77.518,69.7737,0.23897
77.6192,69.7737,0.23897
77.7209,69.7735,0.23897
77.823,69.7737,0.238973
77.924,69.7732,0.238969
78.026,69.7729,0.238969
78.126,69.7727,0.238972
78.2259,69.773,0.238967
78.3301,69.7759,1.51852
